Product,No. of samples in each period,Positive results in period 1,Positive results in period 2,Positive results in period 3,Positive results in period 4,Total positive,Total tested
Raw beef,,,,,,,
NTSEC,27,12,20,22,17,71,108
Salmonella,27,2,3,2,1,8,108
Raw chicken,,,,,,,
NTSEC,15,6,12,8,5,31,60
Salmonella,15,0,0,4,0,4,60
Raw turkey,,,,,,,
NTSEC,12 or 9*,5,9,6,3,23,42
Salmonella,12 or 9*,0,0,3,0,3,42
Raw lamb,,,,,,,
NTSEC,6 or 9 ,5,4,2,7,18,30
Salmonella,6 or 9 ,0,0,2,0,2,30
Canned,,,,,,,
NTSEC,6,2,0,0,0,2,24
Salmonella,6,0,0,0,0,0,24
Dry,,,,,,,
NTSEC,6,5,3,0,0,8,24
Salmonella,6,0,0,0,0,0,24
Overall,,,,,,,
NTSEC,72,35,48,38,32,153,288
Salmonella,72,2,3,11,1,17,288
