Cancer (reference no.),Metaflammation (inflammation) ,Advanced glycation end products 
Prostate cancer (3),TRUE,TRUE
Mast cell (103),TRUE,FALSE
Mast cell (106),TRUE,FALSE
Mast cell (117),TRUE,FALSE
Mast cell (118),TRUE,TRUE
Sarcoma (103),TRUE,FALSE
Sarcoma (106),TRUE,FALSE
Sarcoma (107),TRUE,FALSE
Mammary Tumors (108),TRUE,FALSE
Mammary Tumors (109),FALSE,TRUE
Hemangiosarcoma (110),TRUE,FALSE
B-cell lymphoma (111),TRUE,FALSE
Histiocytic sarcoma (112),FALSE,TRUE
Lymphoma (113),FALSE,TRUE
Osteosarcoma (107),TRUE,FALSE
Osteosarcoma (114),TRUE,FALSE
Osteosarcoma (115),FALSE,TRUE
Osteosarcoma (116),FALSE,TRUE
