,Natural diet group (NDG),NDG Mean,Commercial feed group (CFG),CFG Mean,Difference in Mean (NDG-CFG)
Phylum,Firmicutes,64.17,Firmicutes,73.33,-9.16
,Bacteroidetes,19.89,Bacteroidetes,17.32,2.57
,Fusobacteriaa,13.58,Proteobacteria,8.67,4.91
,Actinobacteria,1.5,Actinobacteria,0.65,0.85
,Proteobacteria,0.86,,,0.86
Family,Lachnospiraceae,31.92,Lachnospiraceae,46.04,-14.12
,Bacteroidaceae,17.59,Bacteroidaceae,16.49,1.1
,Clostridiaceae,16.12,Enterobacteriaceae,8.4,7.72
,Fusobacteriaceaea,13.55,Clostridiaceae,4.56,8.99
,Peptostreptococcaceae,7.62,Streptococcaceae,3.27,4.35
,Veillonellaceae,4.51,Allobaculum_f,2.84,1.67
,Streptococcaceae,2.43,Peptostreptococcaceae,2.56,-0.13
,Prevotellaceaea,2.24,Enterococcaceae,2.32,-0.08
,Coriobacteriaceaea,1.46,Coprobacillus_f,1.67,-0.21
,Allobaculum_f,0.51,Veillonellaceae,1.02,-0.51
,Enterococcaceae,0.37,Porphyromonadaceaeb,0.79,-0.42
,Enterobacteriaceae,0.35,Bifidobacteriaceaeb,0.59,-0.24
,Ruminococcaceaea,0.3,Sutterella_fb,0.24,0.06
,Coprobacillus_f,0.11,,,0.11
Species,Clostridium perfringensa,8.9,Ruminococcus gnavus,18.49,-9.59
,Clostridium rectuma,7.99,Bacteroides vulgatus,8.2,-0.21
,EU465331_sa,5.76,Escherichia coli group,7.3,-1.54
,ADLB_sa,5.59,GQ493555_sb,7.24,-1.65
,Ruminococcus gnavus,4.6,GQ179695_sb,3.34,1.26
,Clostridium hiranonisa,3.69,GL872355_s,2.52,1.17
,Bacteroides_uc,3.44,DQ795137_sb,2.49,0.95
,EF403475_sa,2.99,Bacteroides_uc,2.29,0.7
,GL872355_s,2.65,Bacteroides doreib,2.26,0.39
,Bacteroides vulgatus,1.98,Clostridium difficileb,1.81,0.17
,Clostridium_uc,1.71,Blautia_uc,1.44,0.27
,Fusobacterium_uca,1.66,Ruminococcus_g6_uc,1.36,0.3
,Megamonas_uca,1.57,Clostridium ramosumb,1.05,0.52
,Streptococcus equinus  groupa,1.47,Lachnospiraceae_uc_s,0.96,0.51
,Clostridium sordelliia,1.44,Escherichia_ucb,0.76,0.68
,Bacteroidaceae_uc_s,1.33,Bacteroidaceae_uc_s,0.67,0.66
,Blautia_uc,1.28,JH590969_sb,0.56,0.72
,Lachnospiraceae_uc_s,1.22,Clostridium paraputrificumb,0.51,0.71
,Dorea_uc,1.15,Clostridium_g6_ucb,0.41,0.74
,Eubacterium tenuea,0.7,Eubacterium_g1_ucb,0.39,0.31
,Fusobacterium variuma,0.65,Dorea_uc,0.39,0.26
,Fusobacteriaceae_uc_sa,0.57,Clostridium_uc,0.34,0.23
,Ruminococcus_g6_uc,0.53,Enterobacteriaceae_uc_sb,0.24,0.29
,Clostridiaceae_uc_s,0.54,Anaerostipes caccaeb,0.18,0.36
,EF401353_sa,0.51,Hungatella_uc,0.17,0.34
,Clostridium_g4_uc,0.5,Romboutsia sedimentorumb,0.14,0.36
,FJ370676_sa,0.46,Clostridium_g4_uc,0.14,0.32
,Veillonellaceae_uc_sa,0.43,Clostridiaceae_uc_s,0.13,0.3
,Eubacterium dolichuma,0.37,Coprobacillus_f_uc_sb,0.13,0.24
,EU772949_sa,0.29,Allobaculum_f_uc_sb,0.12,0.17
,Escherichia coli group,0.29,,,0.29
,Peptostreptococcaceae_uc_sa,0.25,,,0.25
